epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5872.19,0.8372,0.85495,1.16752,0.83847,0.78709,0.86039,0.66929,0.85694,0.67592,1.12489,0.007228,0.007228,0.007228
44,6008.33,0.8397,0.84684,1.1634,0.83398,0.78825,0.86197,0.67204,0.85205,0.67664,1.11922,0.007162,0.007162,0.007162
45,6144.32,0.83497,0.84239,1.16337,0.82647,0.78882,0.86096,0.67169,0.85122,0.67804,1.11755,0.007096,0.007096,0.007096
46,6280.68,0.82908,0.83612,1.15945,0.83269,0.78799,0.86197,0.67227,0.85101,0.67507,1.11832,0.00703,0.00703,0.00703
47,6416.81,0.83113,0.83516,1.16041,0.82583,0.8,0.86163,0.67259,0.85212,0.67511,1.11863,0.006964,0.006964,0.006964
48,6552.99,0.82676,0.82993,1.15764,0.8348,0.79472,0.86387,0.67474,0.84835,0.67339,1.11434,0.006898,0.006898,0.006898
49,6689.14,0.81994,0.81796,1.15153,0.83417,0.79912,0.86555,0.67716,0.84479,0.6684,1.11177,0.006832,0.006832,0.006832
50,6824.66,0.81575,0.80957,1.14817,0.83703,0.79773,0.86635,0.6782,0.84382,0.66469,1.11108,0.006766,0.006766,0.006766
51,6960.15,0.81958,0.81081,1.14923,0.83426,0.80126,0.86744,0.67942,0.84187,0.66081,1.10957,0.0067,0.0067,0.0067
52,7097.07,0.81371,0.80232,1.149,0.83564,0.8041,0.86852,0.68091,0.83939,0.65899,1.1076,0.006634,0.006634,0.006634
53,7233.43,0.81223,0.80153,1.148,0.83996,0.79318,0.8688,0.68265,0.83755,0.65831,1.10633,0.006568,0.006568,0.006568
54,7369.86,0.80753,0.79012,1.14393,0.83462,0.79869,0.86871,0.68234,0.83908,0.65952,1.10805,0.006502,0.006502,0.006502
55,7506.31,0.80643,0.7874,1.1401,0.83329,0.79943,0.86827,0.68292,0.83856,0.65792,1.10848,0.006436,0.006436,0.006436
56,7642.47,0.80368,0.78658,1.14167,0.83737,0.7996,0.86867,0.68289,0.83945,0.65523,1.10874,0.00637,0.00637,0.00637
57,7778.63,0.7999,0.77529,1.13446,0.83943,0.79923,0.86799,0.68325,0.83909,0.65591,1.10758,0.006304,0.006304,0.006304
58,7915.03,0.79759,0.77717,1.13974,0.83577,0.80146,0.86797,0.68465,0.83807,0.65467,1.10636,0.006238,0.006238,0.006238
59,8050.9,0.79682,0.77184,1.13576,0.83686,0.80242,0.8687,0.68553,0.83675,0.6534,1.1055,0.006172,0.006172,0.006172
60,8187.12,0.79333,0.76221,1.13179,0.84344,0.79929,0.86942,0.68641,0.83657,0.6523,1.1058,0.006106,0.006106,0.006106
61,8322.96,0.79014,0.76095,1.13051,0.84445,0.79984,0.86955,0.68652,0.83645,0.65228,1.1058,0.00604,0.00604,0.00604
62,8459.72,0.7901,0.75472,1.12963,0.84071,0.80004,0.86957,0.68727,0.83523,0.65163,1.10523,0.005974,0.005974,0.005974
63,8596.76,0.78883,0.75594,1.1293,0.83837,0.8043,0.87014,0.68794,0.83531,0.65024,1.10559,0.005908,0.005908,0.005908
64,8733.48,0.78224,0.74529,1.12809,0.83605,0.80641,0.87016,0.68826,0.83501,0.64984,1.1052,0.005842,0.005842,0.005842
65,8870.08,0.7866,0.74619,1.12512,0.83368,0.81111,0.87023,0.68885,0.83474,0.64878,1.10515,0.005776,0.005776,0.005776
66,9006.53,0.78099,0.74061,1.12428,0.83966,0.80683,0.87067,0.68899,0.83374,0.6474,1.10441,0.00571,0.00571,0.00571
67,9143.16,0.77615,0.7334,1.11879,0.84127,0.80562,0.87074,0.68927,0.83366,0.64682,1.1044,0.005644,0.005644,0.005644
68,9278.95,0.76995,0.7296,1.11826,0.84106,0.80427,0.87059,0.6895,0.83318,0.64569,1.10434,0.005578,0.005578,0.005578
69,9414.42,0.76946,0.72449,1.11512,0.84288,0.80343,0.87066,0.6895,0.83317,0.64499,1.10449,0.005512,0.005512,0.005512
70,9549.91,0.76764,0.72178,1.11406,0.84397,0.80329,0.87069,0.68944,0.83305,0.64407,1.10447,0.005446,0.005446,0.005446
71,9686.59,0.76525,0.71422,1.11162,0.84737,0.80224,0.87082,0.68997,0.83304,0.64337,1.1044,0.00538,0.00538,0.00538
72,9823.37,0.75898,0.71169,1.1095,0.84569,0.80362,0.87066,0.69018,0.83306,0.64273,1.10466,0.005314,0.005314,0.005314
73,9960.57,0.76469,0.71028,1.1109,0.85054,0.801,0.87112,0.69061,0.83303,0.64208,1.10476,0.005248,0.005248,0.005248
74,10097.3,0.75796,0.70589,1.10748,0.85461,0.79692,0.87118,0.69064,0.83285,0.64211,1.10474,0.005182,0.005182,0.005182
75,10234,0.75839,0.69947,1.10662,0.85419,0.79764,0.87135,0.69106,0.83251,0.6413,1.1047,0.005116,0.005116,0.005116
76,10370.8,0.7568,0.69843,1.1069,0.85319,0.79949,0.87146,0.69144,0.83246,0.64091,1.10482,0.00505,0.00505,0.00505
77,10507.7,0.75561,0.69851,1.10401,0.85355,0.7992,0.87185,0.69143,0.83237,0.64009,1.10479,0.004984,0.004984,0.004984
78,10644.6,0.75567,0.69031,1.10476,0.85152,0.80037,0.87211,0.69226,0.83244,0.63985,1.1047,0.004918,0.004918,0.004918
79,10781.4,0.74924,0.68678,1.10057,0.85168,0.80032,0.87223,0.69214,0.83242,0.63939,1.10461,0.004852,0.004852,0.004852
80,10918.4,0.7433,0.67795,1.09625,0.85266,0.79883,0.87241,0.69229,0.83216,0.63893,1.10443,0.004786,0.004786,0.004786
81,11055.9,0.74288,0.68088,1.0979,0.85529,0.79721,0.87259,0.69235,0.83197,0.63829,1.10449,0.00472,0.00472,0.00472
82,11192.6,0.74012,0.68366,1.09856,0.85547,0.79656,0.87267,0.69266,0.83183,0.63762,1.10446,0.004654,0.004654,0.004654
83,11329.3,0.73652,0.67336,1.09357,0.85619,0.79633,0.87288,0.69253,0.83185,0.63723,1.10474,0.004588,0.004588,0.004588
84,11465.7,0.73834,0.67239,1.09308,0.85614,0.79549,0.87301,0.69262,0.83172,0.63686,1.10475,0.004522,0.004522,0.004522
85,11602.7,0.73522,0.66025,1.0905,0.85425,0.79739,0.87307,0.69323,0.83201,0.63652,1.105,0.004456,0.004456,0.004456
86,11739.4,0.73329,0.66135,1.08868,0.85416,0.79745,0.873,0.69304,0.83208,0.63586,1.105,0.00439,0.00439,0.00439
87,11876.1,0.73237,0.6603,1.09095,0.85216,0.79868,0.87302,0.69338,0.83209,0.63595,1.10501,0.004324,0.004324,0.004324
88,12012.8,0.7288,0.65064,1.08612,0.84952,0.80093,0.87307,0.69346,0.83221,0.63565,1.10502,0.004258,0.004258,0.004258
89,12149.4,0.71981,0.64802,1.08269,0.84968,0.80006,0.87304,0.69373,0.83247,0.63525,1.10519,0.004192,0.004192,0.004192
90,12285.7,0.72367,0.64619,1.08256,0.84534,0.80346,0.87309,0.69368,0.83267,0.63492,1.10525,0.004126,0.004126,0.004126
91,12422.3,0.72212,0.6421,1.0818,0.85421,0.79671,0.87325,0.69361,0.83287,0.63462,1.10549,0.00406,0.00406,0.00406
92,12558.8,0.71494,0.63603,1.07852,0.85107,0.80022,0.87329,0.69371,0.833,0.63419,1.10554,0.003994,0.003994,0.003994
93,12695.2,0.71342,0.63201,1.07927,0.84696,0.80382,0.87311,0.69358,0.83337,0.63396,1.10563,0.003928,0.003928,0.003928
94,12831.6,0.71182,0.63277,1.07674,0.84833,0.80214,0.87318,0.6939,0.83313,0.63351,1.10557,0.003862,0.003862,0.003862
95,12968,0.70869,0.62611,1.07624,0.84733,0.80383,0.87313,0.69416,0.83315,0.63338,1.10562,0.003796,0.003796,0.003796
96,13104.4,0.70846,0.62066,1.0715,0.84792,0.80334,0.87317,0.69395,0.83301,0.63319,1.10574,0.00373,0.00373,0.00373
97,13241.2,0.70807,0.61886,1.07292,0.84836,0.80282,0.87305,0.6937,0.83302,0.63245,1.10599,0.003664,0.003664,0.003664
98,13377.3,0.69787,0.61612,1.0681,0.84758,0.80289,0.87315,0.69379,0.83322,0.63178,1.10632,0.003598,0.003598,0.003598
99,13513.5,0.70349,0.61217,1.0698,0.84973,0.80152,0.87312,0.69371,0.83327,0.63162,1.10642,0.003532,0.003532,0.003532
100,13649.9,0.69513,0.61193,1.06716,0.84948,0.80155,0.87322,0.69381,0.83331,0.63152,1.10655,0.003466,0.003466,0.003466
101,13785.5,0.69559,0.6046,1.06682,0.84083,0.80801,0.87318,0.694,0.8334,0.631,1.10666,0.0034,0.0034,0.0034
102,13922.1,0.69577,0.60085,1.0653,0.84148,0.80773,0.87291,0.69391,0.83337,0.6306,1.10674,0.003334,0.003334,0.003334
