epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6991.25,0.8337,0.85491,1.16661,0.83214,0.78576,0.85912,0.6694,0.8503,0.68368,1.11988,0.007228,0.007228,0.007228
44,7153.4,0.84018,0.8523,1.1655,0.84177,0.778,0.8602,0.67226,0.84941,0.67772,1.12083,0.007162,0.007162,0.007162
45,7315.7,0.83456,0.84366,1.16343,0.83251,0.78849,0.86212,0.672,0.84986,0.67317,1.12028,0.007096,0.007096,0.007096
46,7477.65,0.83017,0.83761,1.15924,0.83839,0.78672,0.86321,0.67293,0.84957,0.67048,1.11975,0.00703,0.00703,0.00703
47,7639.96,0.83228,0.83308,1.16025,0.83903,0.78495,0.8619,0.67309,0.84859,0.67021,1.11888,0.006964,0.006964,0.006964
48,7802.05,0.82792,0.82873,1.15807,0.83846,0.78552,0.86256,0.67392,0.84668,0.66727,1.1158,0.006898,0.006898,0.006898
49,7964.04,0.82176,0.81896,1.15084,0.83458,0.78996,0.86346,0.67405,0.84375,0.66588,1.11383,0.006832,0.006832,0.006832
50,8126.34,0.81785,0.81344,1.14956,0.83549,0.79104,0.86518,0.67519,0.84587,0.66376,1.11543,0.006766,0.006766,0.006766
51,8288.96,0.8187,0.81384,1.14732,0.84677,0.78723,0.86665,0.67641,0.84475,0.66108,1.11485,0.0067,0.0067,0.0067
52,8451.13,0.81487,0.80522,1.14866,0.84015,0.7905,0.86643,0.67819,0.8429,0.66184,1.11335,0.006634,0.006634,0.006634
53,8613.16,0.81235,0.80297,1.14729,0.83547,0.79673,0.86658,0.67785,0.84122,0.66131,1.11227,0.006568,0.006568,0.006568
54,8775.17,0.80608,0.79075,1.14256,0.82855,0.80501,0.8673,0.67878,0.84007,0.66004,1.11127,0.006502,0.006502,0.006502
55,8937.29,0.80334,0.78692,1.13781,0.83785,0.79852,0.86807,0.67976,0.83955,0.65701,1.11163,0.006436,0.006436,0.006436
56,9099.09,0.80363,0.78854,1.14231,0.84223,0.79935,0.86887,0.68081,0.83965,0.65514,1.11221,0.00637,0.00637,0.00637
57,9261.43,0.80187,0.77891,1.13678,0.84873,0.79325,0.86926,0.6818,0.83876,0.65414,1.11192,0.006304,0.006304,0.006304
58,9423.78,0.79697,0.773,1.13764,0.84854,0.79447,0.87081,0.68282,0.83786,0.65159,1.11096,0.006238,0.006238,0.006238
59,9586.14,0.79775,0.77587,1.13606,0.83786,0.80473,0.87093,0.6839,0.83885,0.64987,1.11181,0.006172,0.006172,0.006172
60,9748.32,0.79293,0.76493,1.1303,0.83308,0.80965,0.87152,0.68437,0.83733,0.64942,1.11098,0.006106,0.006106,0.006106
61,9910.89,0.7913,0.7613,1.13138,0.84069,0.80122,0.87184,0.68494,0.83683,0.64925,1.11055,0.00604,0.00604,0.00604
62,10072.9,0.78799,0.75691,1.12936,0.84785,0.79666,0.87143,0.68521,0.83673,0.64898,1.11103,0.005974,0.005974,0.005974
63,10235.1,0.78785,0.75524,1.12717,0.84743,0.79847,0.87132,0.68476,0.83664,0.64724,1.11153,0.005908,0.005908,0.005908
64,10396.9,0.7802,0.74682,1.12642,0.84493,0.80081,0.87175,0.68523,0.83614,0.64651,1.11125,0.005842,0.005842,0.005842
65,10559.2,0.78337,0.7499,1.12274,0.84531,0.80121,0.87203,0.68586,0.83672,0.64599,1.11204,0.005776,0.005776,0.005776
66,10721.4,0.77942,0.74292,1.12245,0.85075,0.79655,0.87222,0.68632,0.83676,0.64577,1.11196,0.00571,0.00571,0.00571
67,10883.4,0.77573,0.73165,1.11945,0.85076,0.79848,0.87274,0.68678,0.83653,0.64484,1.11201,0.005644,0.005644,0.005644
68,11044.9,0.7702,0.73142,1.11815,0.85173,0.7982,0.87308,0.68748,0.83603,0.64478,1.11181,0.005578,0.005578,0.005578
69,11207,0.76951,0.72595,1.11541,0.85078,0.79969,0.87341,0.68793,0.8358,0.64396,1.11186,0.005512,0.005512,0.005512
70,11368.4,0.76708,0.72417,1.11405,0.85209,0.80064,0.87335,0.68808,0.83534,0.64364,1.11164,0.005446,0.005446,0.005446
71,11530.2,0.76798,0.71633,1.11325,0.85227,0.80159,0.87366,0.68853,0.83487,0.64313,1.11137,0.00538,0.00538,0.00538
72,11692.4,0.76139,0.71349,1.11083,0.85704,0.79654,0.87366,0.68882,0.83425,0.64259,1.11092,0.005314,0.005314,0.005314
73,11854.5,0.76506,0.71305,1.11192,0.85975,0.79581,0.87363,0.68869,0.83431,0.64253,1.11082,0.005248,0.005248,0.005248
74,12016.3,0.75676,0.70923,1.10791,0.86159,0.7959,0.87364,0.68869,0.83426,0.6425,1.11056,0.005182,0.005182,0.005182
75,12178.5,0.7588,0.70057,1.10755,0.86035,0.79601,0.87347,0.68845,0.8348,0.64206,1.1108,0.005116,0.005116,0.005116
76,12339.9,0.75679,0.69916,1.10729,0.85964,0.7966,0.87344,0.68887,0.8345,0.64218,1.11069,0.00505,0.00505,0.00505
77,12500,0.75516,0.69861,1.10507,0.85793,0.79785,0.87354,0.68896,0.83395,0.64229,1.11017,0.004984,0.004984,0.004984
78,12660.1,0.75326,0.69213,1.10299,0.85613,0.8007,0.87356,0.68946,0.83376,0.64204,1.11013,0.004918,0.004918,0.004918
79,12820.6,0.75118,0.69134,1.10311,0.85209,0.80429,0.87332,0.68947,0.83381,0.64135,1.11002,0.004852,0.004852,0.004852
80,12980.6,0.74784,0.67842,1.0989,0.85102,0.80507,0.8731,0.68952,0.83421,0.64138,1.1104,0.004786,0.004786,0.004786
81,13140.9,0.7433,0.68237,1.09755,0.8545,0.80232,0.87282,0.68915,0.8343,0.64122,1.11062,0.00472,0.00472,0.00472
82,13301.1,0.73993,0.67993,1.09748,0.85804,0.79815,0.87286,0.68941,0.83455,0.64126,1.11083,0.004654,0.004654,0.004654
83,13462.7,0.73516,0.66956,1.09368,0.85871,0.79805,0.87305,0.68954,0.8345,0.64098,1.11093,0.004588,0.004588,0.004588
84,13624.8,0.73653,0.67409,1.09281,0.8544,0.80128,0.87314,0.68965,0.83466,0.6407,1.11116,0.004522,0.004522,0.004522
85,13786.8,0.7342,0.66021,1.09082,0.85489,0.80153,0.87321,0.68988,0.83457,0.64038,1.11118,0.004456,0.004456,0.004456
86,13949,0.73313,0.66199,1.08933,0.85115,0.80346,0.87312,0.6899,0.83473,0.63933,1.11128,0.00439,0.00439,0.00439
87,14109.8,0.73222,0.66033,1.08972,0.85067,0.80406,0.87334,0.68979,0.83472,0.63883,1.11138,0.004324,0.004324,0.004324
88,14270.5,0.72988,0.65291,1.0873,0.85151,0.80402,0.8734,0.68997,0.83513,0.63837,1.11172,0.004258,0.004258,0.004258
89,14430.3,0.72006,0.65057,1.08255,0.85171,0.80452,0.87338,0.69002,0.83531,0.63827,1.11184,0.004192,0.004192,0.004192
